Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,36.97422207175247,37.36798375515772,35.28104683310992,36.71827697753906,53228400,0.0,0.0
2000-01-04,35.77328019983628,36.89550197825712,35.35983007094439,35.47795867919922,54119000,0.0,0.0
2000-01-05,35.005417297463836,36.6592165398637,34.45415088333055,35.85200500488281,64059600,0.0,0.0
2000-01-06,35.34011839736591,35.87169677994468,34.13914501450278,34.65103530883789,54976600,0.0,0.0
2000-01-07,34.217906192388014,35.35981560502237,33.804456232641094,35.1038703918457,62013600,0.0,0.0
2000-01-10,35.73389515313911,35.812647539151534,35.084187968536575,35.35982131958008,44963600,0.0,0.0
2000-01-11,35.12355386788504,35.9898298601423,34.23758978489467,34.454158782958984,46743600,0.0,0.0
2000-01-12,34.17851982860261,34.29664835335584,32.898794143775895,33.331932067871094,66532400,0.0,0.0
2000-01-13,32.87911843562472,34.217908886895664,31.973466071529668,33.96196365356445,83144000,0.0,0.0
2000-01-14,33.76508550282841,35.89139992516397,33.31225928325696,35.35982131958008,73416400,0.0,0.0
2000-01-18,35.2219946491686,36.69860146788724,35.20230655825235,36.324527740478516,81483600,0.0,0.0
2000-01-19,34.808549791853004,35.12355929223177,33.39100704014859,33.706016540527344,97568200,0.0,0.0
2000-01-20,33.72571176402974,34.55261187733345,33.35163790324949,33.391014099121094,56349800,0.0,0.0
2000-01-21,33.70600085890437,33.78475319735975,32.524715782073606,32.682220458984375,68416200,0.0,0.0
2000-01-24,32.696990550888906,33.2925551838345,31.756884394751655,31.89470100402832,63597600,0.0,0.0
2000-01-25,31.81595484956782,32.721607029691654,31.3631287595059,32.38690948486328,59823200,0.0,0.0
2000-01-26,32.268788092991095,32.603485712015406,31.225319045444706,31.3040714263916,49365000,0.0,0.0
2000-01-27,31.466498830952222,31.87502681514885,30.63467679084102,31.10719108581543,63654800,0.0,0.0
2000-01-28,30.910315574277146,31.57971094340162,30.634682186990595,30.949691772460938,58225400,0.0,0.0
2000-01-31,30.752798233909168,30.929991053438734,29.886522227320178,30.83155059814453,73194200,0.0,0.0
2000-02-01,31.028430375896516,32.52472524173924,30.772485201476048,32.42628479003906,70196600,0.0,0.0
2000-02-02,32.268783562241026,32.7412977815783,31.658452695597052,31.756893157958984,49915600,0.0,0.0
2000-02-03,32.150658054144735,32.82005326164071,31.540327129663112,32.642860412597656,49186000,0.0,0.0
